place_of_svc_cd|place_of_svc_nm|place_of_svc_desc
51|INPATIENT PSYCHIATRIC FACILITY|A FACILITY THAT PROVIDES INPATIENT PSYCHIATRIC SERVICES FOR THE DIAGNOSIS AND TREATMENT OF MENTAL ILLNESS ON A 24-HOUR BASIS, BY OR UNDER THE SUPERVISION OF A PHYSICIAN.
50|FEDERALLY QUALIFIED HEALTH CENTER|A FACILITY LOCATED IN A MEDICALLY UNDERSERVED AREA THAT PROVIDES MEDICARE BENEFICIARIES PREVENTIVE PRIMARY MEDICAL CARE UNDER THE GENERAL DIRECTION OF A PHYSICIAN.
16|TEMPORARY LODGING|A SHORT TERM ACCOMMODATION SUCH AS A HOTEL, CAMP GROUND, HOSTEL, CRUISE SHIP OR RESORT WHERE THE PATIENT RECEIVES CARE, AND WHICH IS NOT IDENTIFIED BY ANY OTHER POS CODE.
05|INDIAN HEALTH SERVICE FREE-STANDING FACILITY|A FACILITY OR LOCATION, OWNED AND OPERATED BY THE INDIAN HEALTH SERVICE, WHICH PROVIDES DIAGNOSTIC, THERAPEUTIC (SURGICAL AND NON-SURGICAL), AND REHABILITATION SERVICES TO AMERICAN INDIANS AND ALASKA NATIVES WHO DO NOT REQUIRE HOSPITALIZATION.
91|UNASSIGNED|UNASSIGNED
15|MOBILE UNIT|A FACILITY/UNIT THAT MOVES FROM PLACE-TO-PLACE EQUIPPED TO PROVIDE PREVENTIVE, SCREENING, DIAGNOSTIC, AND/OR TREATMENT SERVICES.
17|WALK-IN RETAIL HEALTH CLINIC|A WALK-IN HEALTH CLINIC, OTHER THAN AN OFFICE, URGENT CARE FACILITY, PHARMACY OR INDEPENDENT CLINIC AND NOT DESCRIBED BY ANY OTHER PLACE OF SERVICE CODE, THAT IS LOCATED WITHIN A RETAIL OPERATION AND PROVIDES, ON AN AMBULATORY BASIS, PREVENTIVE AND PRIMARY CARE SERVICES.
85|UNASSIGNED|UNASSIGNED
24|AMBULATORY SURGICAL CENTER|A FREESTANDING FACILITY, OTHER THAN A PHYSICIAN'S OFFICE, WHERE SURGICAL AND DIAGNOSTIC SERVICES ARE PROVIDED ON AN AMBULATORY BASIS.
37|UNASSIGNED|UNASSIGNED
56|PSYCHIATRIC RESIDENTIAL TREATMENT CENTER|A FACILITY OR DISTINCT PART OF A FACILITY FOR PSYCHIATRIC CARE WHICH PROVIDES A TOTAL 24-HOUR THERAPEUTICALLY PLANNED AND PROFESSIONALLY STAFFED GROUP LIVING AND LEARNING ENVIRONMENT.
75|UNASSIGNED|UNASSIGNED
42|AMBULANCE - AIR OR WATER|AN AIR OR WATER VEHICLE SPECIFICALLY DESIGNED, EQUIPPED AND STAFFED FOR LIFESAVING AND TRANSPORTING THE SICK OR INJURED.
03|SCHOOL|A FACILITY WHOSE PRIMARY PURPOSE IS EDUCATION.
72|RURAL HEALTH CLINIC|A CERTIFIED FACILITY WHICH IS LOCATED IN A RURAL MEDICALLY UNDERSERVED AREA THAT PROVIDES AMBULATORY PRIMARY MEDICAL CARE UNDER THE GENERAL DIRECTION OF A PHYSICIAN.
02|TELEHEALTH|THE LOCATION WHERE HEALTH SERVICES AND HEALTH RELATED SERVICES ARE PROVIDED OR RECEIVED, THROUGH A TELECOMMUNICATION SYSTEM.
33|CUSTODIAL CARE FACILITY|A FACILITY WHICH PROVIDES ROOM, BOARD AND OTHER PERSONAL ASSISTANCE SERVICES, GENERALLY ON A LONG-TERM BASIS, AND WHICH DOES NOT INCLUDE A MEDICAL COMPONENT.
58|UNASSIGNED|UNASSIGNED
68|UNASSIGNED|UNASSIGNED
